id, name, wikiloc, mendikat, altitude, active
10119,Jaun Done Jakue,http://www.wikiloc.com/wikiloc/find.do?q=jaun+done+jakue,/com/mount/1107,1232,1
10204,Peñablanca,http://www.wikiloc.com/wikiloc/find.do?q=penablanca,/com/mount/1108,1583,1
10116,Kañadaxiloa / Godía,http://www.wikiloc.com/wikiloc/find.do?q=kanadaxiloa+/+godia,/com/mount/1109,1769,1
9190,Pagonabarra,http://www.wikiloc.com/wikiloc/find.do?q=pagonabarra,/com/mount/111,606,1
10208,Kartxela,http://www.wikiloc.com/wikiloc/find.do?q=kartxela,/com/mount/1111,1979,1
10092,"Plana, La","http://www.wikiloc.com/wikiloc/find.do?q=plana,+la",/com/mount/1112,1338,1
10151,Lakarri,http://www.wikiloc.com/wikiloc/find.do?q=lakarri,/com/mount/1113,1046,1
10568,Lakhura,http://www.wikiloc.com/wikiloc/find.do?q=lakhura,/com/mount/1114,1877,1
10108,Lapazarra,http://www.wikiloc.com/wikiloc/find.do?q=lapazarra,/com/mount/1115,1785,1
10164,"Lapoblación, Castillo de","http://www.wikiloc.com/wikiloc/find.do?q=lapoblacion,+castillo+de",/com/mount/1116,1244,1
10016,Larraineta,http://www.wikiloc.com/wikiloc/find.do?q=larraineta,/com/mount/1117,1118,1
10084,Larratza / Pikoatxikota,http://www.wikiloc.com/wikiloc/find.do?q=larratza+/+pikoatxikota,/com/mount/1118,1587,1
10021,Larregoiko,http://www.wikiloc.com/wikiloc/find.do?q=larregoiko,/com/mount/1119,1023,1
9172,Palomares,http://www.wikiloc.com/wikiloc/find.do?q=palomares,/com/mount/112,1443,1
10189,Larrogain,http://www.wikiloc.com/wikiloc/find.do?q=larrogain,/com/mount/1120,1277,1
10159,Larrondo,http://www.wikiloc.com/wikiloc/find.do?q=larrondo,/com/mount/1121,1703,1
9936,Larhun,http://www.wikiloc.com/wikiloc/find.do?q=larhun,/com/mount/1122,900,1
9961,Buztanzelhai / Lauordena,http://www.wikiloc.com/wikiloc/find.do?q=buztanzelhai+/+lauordena,/com/mount/1124,1026,1
9965,Lauriñaga,http://www.wikiloc.com/wikiloc/find.do?q=laurinaga,/com/mount/1126,1279,1
10109,Legate,http://www.wikiloc.com/wikiloc/find.do?q=legate,/com/mount/1128,870,1
10306,Erbiñagaburua,http://www.wikiloc.com/wikiloc/find.do?q=erbinagaburua,/com/mount/1129,999,1
9207,Pando,http://www.wikiloc.com/wikiloc/find.do?q=pando,/com/mount/113,553,1
10009,Lezizagoa,http://www.wikiloc.com/wikiloc/find.do?q=lezizagoa,/com/mount/1130,1348,1
9949,Lindus,http://www.wikiloc.com/wikiloc/find.do?q=lindus,/com/mount/1131,1218,1
10100,Lizardoia,http://www.wikiloc.com/wikiloc/find.do?q=lizardoia,/com/mount/1133,1198,1
10489,Lizartzu,http://www.wikiloc.com/wikiloc/find.do?q=lizartzu,/com/mount/1134,793,1
10019,Loitzate / Irain,http://www.wikiloc.com/wikiloc/find.do?q=loitzate+/+irain,/com/mount/1135,1048,1
10013,Lokiz,http://www.wikiloc.com/wikiloc/find.do?q=lokiz,/com/mount/1136,1121,1
10060,Madalen,http://www.wikiloc.com/wikiloc/find.do?q=madalen,/com/mount/1138,859,1
10075,Malgorra,http://www.wikiloc.com/wikiloc/find.do?q=malgorra,/com/mount/1139,1363,1
10082,Peñalta,http://www.wikiloc.com/wikiloc/find.do?q=penalta,/com/mount/114,1243,1
9930,Manddale,http://www.wikiloc.com/wikiloc/find.do?q=manddale,/com/mount/1140,573,1
10342,Baltsazarras,http://www.wikiloc.com/wikiloc/find.do?q=baltsazarras,/com/mount/1142,1302,1
10098,Measkoitz,http://www.wikiloc.com/wikiloc/find.do?q=measkoitz,/com/mount/1143,1014,1
10186,Mendaur,http://www.wikiloc.com/wikiloc/find.do?q=mendaur,/com/mount/1144,1131,1
10153,Mendigaña,http://www.wikiloc.com/wikiloc/find.do?q=mendigana,/com/mount/1145,1106,1
10176,Mendilatz,http://www.wikiloc.com/wikiloc/find.do?q=mendilatz,/com/mount/1146,1348,1
